IPO Name,GMP,Est. Listing Price,Fire Rating,Price,IPO Size,Lot,P/E,Open,Close,BoA Date,Listing,GMP Updated
Indogulf Cropsciences IPO U,₹11 (9.91%),122 (9.91%),🔥🔥,111,₹200.00 Cr,135,19.18,26-Jun,30-Jun,1-Jul,3-Jul,23-Jun 16:31
HDB Financial IPO U,₹69 (9.32%),809 (9.32%),🔥🔥,740,₹12500.00 Cr,20,27,25-Jun,27-Jun,30-Jun,2-Jul,23-Jun 16:30
Sambhv Steel Tubes IPO U,₹8 (9.76%),90 (9.76%),🔥🔥,82,₹540.00 Cr,182,23.97,25-Jun,27-Jun,30-Jun,2-Jul,23-Jun 16:29
Kalpataru IPO U,₹9 (2.17%),423 (2.17%),🔥,414,₹1590.00 Cr,36,-59.52,24-Jun,26-Jun,27-Jun,1-Jul,23-Jun 16:29
Ellenbarrie Industrial Gases IPO U,₹10 (2.50%),410 (2.5%),🔥,400,₹852.53 Cr,37,62.88,24-Jun,26-Jun,27-Jun,1-Jul,23-Jun 16:29
Globe Civil Projects IPO U,₹15 (21.13%),86 (21.13%),🔥🔥🔥🔥,71,₹119.00 Cr,211,19.83,24-Jun,26-Jun,27-Jun,1-Jul,23-Jun 16:31
Arisinfra Solutions IPO C,₹-- (0.00%),222 (0%),🔥,222,₹499.60 Cr,67,-41.89,18-Jun,20-Jun,23-Jun,25-Jun,23-Jun 16:34
Oswal Pumps IPO L@634.00 (3.26%),₹41 (6.68%),655 (6.68%),🔥🔥,614,₹1387.34 Cr,24,62.54,13-Jun,17-Jun,18-Jun,20-Jun,20-Jun 8:57
